source,target,count
10445,9419,2
10445,9423,1
10446,9415,5
10447,9415,29
10448,9415,16
10449,9419,3
10450,9415,13
10451,9415,10
10452,9415,27
10453,9417,2
10453,9423,1
10454,9417,7
10455,9417,8
10456,9417,84
10457,9417,1
10457,9423,2
10458,9423,5
10459,9415,12
10459,9417,2
10460,9419,61
10461,9419,7
10462,9417,2
10463,9417,6
10464,9419,3
10465,9415,5
10466,9415,27
10467,9424,6
10468,9416,3
10469,9423,13
10470,9417,3
10471,9424,4
10472,9423,1
10472,9424,1
10473,9424,5
10474,9415,12
10474,9423,2
10475,9423,4
10476,9417,7
10477,9417,4
10478,9419,11
10479,9424,4
10480,9415,3
10481,9423,4
10482,9423,3
10483,9415,8
10484,9417,11
10485,9415,3
10486,9421,2
10487,9415,3
10488,9415,4
10489,9423,3
10489,9424,1
10490,9417,1
10490,9423,1
10490,9424,1
10491,9419,1
10492,9422,5
10493,9419,5
10494,9417,2
10494,9422,3
10495,9417,1
10495,9423,15
10496,9417,7
10497,9417,3
10498,9419,22
10498,9423,4
10499,9415,10
10499,9422,1
10499,9423,1
10500,9419,3
10501,9417,3
10502,9419,3
10503,9415,12
10504,9415,10
10505,9419,10
10506,9417,1
10507,9417,3
10508,9417,3
10509,9424,16
10510,9424,21
10511,9423,6
10512,9419,1
10512,9423,12
10513,9422,3
10514,9419,3
10515,9419,6
10516,9417,6
10517,9417,6
10517,9419,2
10518,9417,6
10519,9421,12
10519,9423,1
10520,9415,5
10521,9423,5
10522,9417,2
10523,9415,22
10524,9419,5
10525,9423,3
10526,9415,3
10527,9417,3
10528,9415,4
10529,9419,5
10530,9415,10
10531,9415,8
10532,9416,7
10533,9415,11
10534,9415,56
10535,9417,3
10536,9423,18
10537,9415,10
10538,9423,3
10539,9419,31
10540,9415,13
10541,9419,3
10542,9423,6
10542,9424,4
10543,9417,3
10544,9415,3
10545,9419,3
10546,9419,3
10547,9415,4
10548,9423,11
10549,9417,3
10550,9417,3
10551,9417,118
10552,9417,2
10553,9415,28
10554,9415,1
10554,9417,1
10554,9419,3
10554,9423,2
10555,9417,12
10556,9423,7
10557,9422,2
10557,9423,16
10558,9419,7
10558,9423,1
10559,9423,16
10560,9417,6
10561,9417,4
10562,9424,6
10563,9423,1
10563,9424,2
10564,9419,10
10565,9415,2
10565,9423,1
10566,9417,3
10567,9419,6
10568,9415,5
10569,9423,5
10570,9417,4
10571,9423,19
10572,9419,3
10572,9423,2
10573,9419,2
10573,9423,2
10574,9417,12
10575,9415,8
10576,9415,9
10577,9417,4
10578,9417,4
10579,9417,4
10580,9423,3
10580,9424,3
10581,9424,7
10582,9417,3
10583,9424,4
10584,9419,2
10585,9419,3
10586,9423,14
10587,9415,7
10588,9417,3
10589,9423,9
10590,9417,6
10591,9419,6
10592,9421,12
10593,9423,2
10594,9415,3
10595,9424,3
10596,9415,1
10597,9415,7
10598,9417,11
10599,9419,9
10600,9423,2
10601,9419,6
10602,9417,11
10602,9419,1
10602,9423,4
10603,9419,9
10604,9417,5
10605,9417,1
10605,9422,2
10606,9423,4
10607,9417,7
10608,9423,25
10609,9415,1
10610,9419,11
10611,9421,11
10612,9419,14
10613,9417,4
10614,9419,7
10615,9415,1
10615,9419,3
10616,9417,17
10617,9415,3
10618,9421,11
10619,9419,6
10620,9423,4
10621,9415,3
10622,9415,3
10623,9424,3
10624,9417,1
10624,9423,2
10625,9415,3
10626,9415,4
10627,9417,45
10628,9417,4
10629,9415,2
10630,9417,1
10630,9421,5
10631,9417,19
10632,9422,3
10633,9423,3
10634,9417,2
10634,9423,1
10635,9419,5
10636,9415,6
10637,9424,18
10638,9419,12
10639,9423,15
10640,9417,2
10641,9415,4
10642,9417,7
10643,9419,8
10644,9423,2
10645,9417,20
10646,9423,4
10647,9416,7
10648,9422,5
10649,9415,4
10650,9420,20
10651,9419,11
10652,9417,5
10653,9417,4
10653,9419,4
10654,9419,6
10655,9423,3
10656,9423,1
10656,9424,6
10657,9415,39
10658,9415,4
10659,9417,1
10660,9415,4
10661,9417,5
10662,9417,6
10663,9419,1
10664,9423,6
10665,9415,3
10666,9417,7
10667,9415,3
10668,9417,6
10669,9419,3
10670,9423,3
10671,9424,4
10672,9424,3
10673,9424,3
10674,9419,17
10675,9419,6
10676,9415,2
10676,9419,5
10677,9417,26
10678,9415,3
10679,9424,2
10680,9415,3
10681,9417,3
10682,9419,1
10682,9423,2
10683,9417,7
10684,9417,6
10685,9419,6
10686,9415,7
10687,9415,18
10688,9415,1
10688,9419,3
10689,9415,5
10690,9417,24
10691,9423,8
10692,9417,1
10693,9423,3
10694,9423,6
10695,9417,3
10696,9417,4
10697,9415,3
10698,9419,6
10699,9419,28
10700,9415,4
10701,9417,8
10702,9415,10
10703,9417,8
10704,9419,3
10705,9423,2
10705,9424,1
10706,9419,7
10706,9421,6
10706,9423,6
10707,9419,40
10708,9417,2
10709,9415,3
10709,9417,1
10710,9415,12
10711,9419,5
10712,9419,3
10712,9421,1
10713,9421,8
10714,9415,3
10715,9424,12
10716,9424,3
10717,9419,13
10717,9423,1
10718,9417,3
10719,9419,2
10720,9415,3
10721,9419,12
10722,9415,38
10723,9423,12
10724,9419,11
10725,9415,20
10726,9417,5
10727,9419,2
10728,9419,2
10729,9423,3
10730,9419,15
10731,9423,8
10731,9424,4
10732,9419,7
10733,9419,4
10734,9415,3
10735,9415,3
10736,9417,7
