source,target,count
9750,9232,3
9751,9236,3
9752,9258,3
9753,9278,12
9754,9258,10
9755,9300,10
9756,9268,1
9757,9310,3
9758,9334,3
9759,9347,16
9760,9268,21
9761,9258,6
9762,9223,13
9763,9274,3
9764,9272,3
9765,9272,6
9766,9271,6
9767,9268,8
9768,9268,6
9769,9236,13
9770,9236,5
9771,9278,5
9772,9334,2
9773,9347,22
9774,9347,5
9775,9328,3
9776,9268,3
9777,9271,3
9778,9278,4
9779,9229,5
9780,9258,10
9781,9236,8
9782,9329,7
9783,9330,11
9784,9291,56
9785,9347,3
9786,9336,18
9787,9336,10
9788,9342,3
9789,9232,31
9790,9236,13
9791,9236,3
9792,9347,10
9793,9336,3
9794,9334,3
9795,9254,3
9796,9254,3
9797,9328,4
9798,9334,11
9799,9347,3
9800,9236,3
9801,9268,118
9802,9236,2
9803,9276,28
9804,9271,7
9805,9268,12
9806,9291,7
9807,9236,18
9808,9334,8
9809,9268,16
9810,9268,6
9811,9336,4
9812,9328,6
9813,9334,3
9814,9336,10
9815,9258,3
9816,9268,3
9817,9268,6
9818,9258,5
9819,9268,5
9820,9336,4
9821,9329,19
9822,9268,5
9823,9268,4
9824,9268,12
9825,9236,8
9826,9236,9
9827,9236,4
9828,9236,4
9829,9268,4
9830,9268,6
9831,9268,7
9832,9268,3
9833,9333,4
9834,9232,2
9835,9347,3
9836,9236,14
9837,9236,7
9838,9236,3
9839,9236,9
9840,9236,6
9841,9236,6
9842,9236,12
9843,9291,2
9844,9334,3
9845,9334,3
9846,9334,1
9847,9334,7
9848,9236,11
9849,9236,9
9850,9268,2
9851,9224,6
9852,9236,16
9853,9236,9
9854,9236,5
9855,9236,3
9856,9294,4
9857,9334,7
9858,9316,25
9859,9304,1
9860,9303,11
9861,9347,11
9862,9272,14
9863,9271,4
9864,9334,7
9865,9334,4
9866,9268,17
9867,9334,3
9868,9347,11
9869,9227,6
9870,9336,4
9871,9258,3
9872,9334,3
9873,9236,3
9874,9236,3
9875,9258,3
9876,9291,4
9877,9268,45
9878,9276,4
9879,9334,2
9880,9268,6
9881,9334,19
9882,9232,3
9883,9266,3
9884,9328,3
9885,9276,5
9886,9241,6
9887,9276,18
9888,9236,12
9889,9236,15
9890,9236,2
9891,9334,4
9892,9236,7
9893,9278,8
9894,9268,2
9895,9334,20
9896,9334,4
9897,9276,7
9898,9232,5
9899,9268,4
9900,9272,20
9901,9227,11
9902,9268,5
9903,9236,8
9904,9334,6
9905,9236,3
9906,9297,7
9907,9268,39
9908,9236,4
9909,9254,1
9910,9333,4
9911,9304,5
9912,9268,6
9913,9334,1
9914,9342,6
9915,9276,3
9916,9334,7
9917,9258,3
9918,9236,6
9919,9236,3
9920,9254,3
9921,9258,4
9922,9274,3
9923,9328,3
9924,9254,17
9925,9254,6
9926,9268,7
9927,9334,26
9928,9336,3
9929,9292,2
9930,9244,3
9931,9223,3
9932,9297,3
9933,9236,7
9934,9268,6
9935,9310,6
9936,9236,7
9937,9236,18
9938,9258,4
9939,9258,5
9940,9336,24
9941,9268,8
9942,9271,1
9943,9297,3
9944,9297,6
9945,9236,3
9946,9268,4
9947,9258,3
9948,9236,6
9949,9227,28
9950,9329,4
9951,9276,8
9952,9328,10
9953,9236,8
9954,9313,3
9955,9268,3
9956,9336,19
9957,9272,40
9958,9236,2
9959,9236,4
9960,9334,12
9961,9334,5
9962,9347,4
9963,9272,8
9964,9294,3
9965,9334,12
9966,9268,3
9967,9268,14
9968,9236,3
9969,9219,2
9970,9258,3
9971,9253,12
9972,9278,38
9973,9328,12
9974,9227,11
9975,9291,20
9976,9287,5
9977,9276,2
9978,9333,2
9979,9334,3
9980,9236,15
9981,9268,12
9982,9236,7
9983,9227,4
9984,9258,3
9985,9278,3
9986,9334,7
9987,9272,1
9988,9258,4
9989,9254,7
9990,9268,5
9991,9328,3
9992,9291,7
9993,9258,59
9994,9304,4
9995,9304,7
9996,9342,5
9997,9268,2
9998,9276,4
9999,9236,3
10000,9347,3
10001,9347,14
10002,9236,7
10003,9343,11
10004,9338,3
10005,9310,3
10006,9276,3
10007,9268,4
10008,9311,32
10009,9276,6
10010,9342,5
10011,9332,21
10012,9347,18
10013,9332,3
10014,9236,4
10015,9227,2
10016,9294,3
10017,9328,39
10018,9272,7
10019,9272,27
10020,9272,3
10021,9278,4
10022,9236,3
10023,9236,32
10024,9347,3
10025,9227,2
10026,9227,3
10027,9272,2
10028,9268,7
10029,9342,11
10030,9291,14
10031,9232,53
10032,9258,4
10033,9328,2
10034,9328,7
10035,9258,34
10036,9334,12
10037,9272,4
10038,9258,1
10039,9291,3
10040,9328,3
10041,9236,1
10042,9236,9
10043,9236,8
10044,9347,2
10045,9232,3
10046,9323,9
10047,9236,4
10048,9258,8
10049,9343,8
10050,9291,13
10051,9236,2
10052,9268,3
10053,9336,8
10054,9278,3
10055,9254,7
10056,9268,27
10057,9236,4
10058,9336,13
10059,9285,8
10060,9253,186
10061,9268,1
10062,9271,3
10063,9268,11
10064,9227,5
10065,9223,3
10066,9223,6
10067,9347,4
10068,9271,4
10069,9342,9
10070,9236,5
10071,9236,3
10072,9300,4
10073,9236,4
10074,9230,3
10075,9236,5
10076,9236,1
10077,9236,5
10078,9334,4
10079,9334,5
10080,9315,4
10081,9227,12
10082,9236,12
10083,9236,3
10084,9258,74
10085,9268,2
10086,9347,11
10087,9258,19
10088,9258,14
10089,9334,4
10090,9342,3
10091,9334,7
10092,9347,26
10093,9268,4
10094,9236,8
10095,9236,4
10096,9329,4
10097,9268,2
10098,9241,7
10099,9236,7
10100,9235,12
10101,9272,11
10102,9334,3
10103,9253,19
10104,9334,3
10105,9236,3
10106,9334,1
10107,9334,22
10108,9334,11
10109,9236,3
10110,9246,4
10111,9275,12
10112,9343,4
10113,9294,4
10114,9294,6
10115,9336,23
10116,9323,2
10117,9236,46
10118,9257,450
10119,9235,308
10120,9343,3
10121,9246,3
10122,9236,5
10123,9236,9
10124,9218,7
10125,9236,1
10126,9232,10
10127,9232,3
10128,9336,3
10129,9268,5
10130,9236,26
10131,9278,85
10132,9244,18
10133,9343,5
10134,9272,3
10135,9343,44
10136,9235,39
10137,9232,38
10138,9232,1
10139,9237,6
10140,9236,8
10141,9336,10
10142,9268,8
10143,9291,29
10144,9236,4
10145,9232,2
10146,9232,3
10147,9347,3
10148,9236,38
10149,9310,7
10150,9268,4
10151,9334,2
10152,9291,5
10153,9343,5
10154,9268,13
10155,9236,44
10156,9268,5
10157,9236,12
10158,9236,439
10159,9249,7
10160,9334,74
10161,9236,7
10162,9268,3
10163,9236,44
10164,9328,22
10165,9276,2
10166,9254,3
10167,9294,3
10168,9309,3
10169,9227,12
10170,9274,3
10171,9294,10
10172,9268,10
10173,9342,23
10174,9300,8
10175,9232,12
10176,9323,4
10177,9246,24
10178,9333,3
10179,9268,2
10180,9232,2
10181,9227,12
10182,9349,7
10183,9220,11
10184,9254,11
10185,9258,5
10186,9277,6
10187,9334,4
10188,9334,3
10189,9232,32
10190,9342,7
10191,9271,2
10192,9328,3
10193,9300,48
10194,9343,14
10195,9236,5
10196,9276,27
10197,9232,6
10198,9278,22
10199,9278,30
10200,9258,5
10201,9323,3
10202,9272,3
10203,9272,91
10204,9272,3
10205,9258,7
10206,9254,1
10207,9336,6
10208,9332,7
10209,9334,13
10210,9328,1
10211,9347,5
10212,9227,51
10213,9278,4
10214,9334,4
10215,9334,3
10216,9269,5
10217,9337,17
10218,9268,25
10219,9236,140
10220,9244,2
10221,9333,25
10222,9235,3
10223,9232,16
10224,9217,3
10225,9334,45
10226,9268,24
10227,9227,7
10228,9328,22
10229,9278,15
10230,9291,8
10231,9232,349
10232,9232,125
10233,9268,4
10234,9291,3
10235,9236,44
10236,9236,29
10237,9236,26
10238,9268,6
10239,9334,7
10240,9336,5
10241,9291,15
10242,9236,5
10243,9271,3
10244,9291,3
10245,9232,7
10246,9236,15
10247,9271,6
10248,9236,2
10249,9238,7
10250,9332,53
10251,9231,6
10252,9334,3
10253,9231,4
10254,9334,2
10255,9271,8
10256,9238,11
10257,9334,5
10258,9238,11
10259,9278,19
10260,9232,129
10261,9256,3
10262,9230,3
10263,9333,7
10264,9232,71
10265,9258,25
10266,9232,2
10267,9236,2
10268,9334,15
10269,9347,3
10270,9236,45
10271,9236,1
10272,9258,4
10273,9268,7
10274,9334,6
10275,9268,36
10276,9236,68
10277,9294,3
10278,9312,17
10279,9300,11
10280,9254,40
10281,9236,158
10282,9334,6
10283,9236,10
10284,9329,3
10285,9329,2
10286,9232,4
10287,9236,3
10288,9328,16
10289,9236,44
10290,9268,42
10291,9236,24
10292,9291,10
10293,9333,4
10294,9268,6
10295,9254,7
10296,9276,12
10297,9336,6
10298,9333,6
10299,9328,5
10300,9276,1
10301,9258,7
10302,9328,4
10303,9328,9
10304,9232,9
10305,9268,12
10306,9334,3
10307,9268,3
10308,9328,4
10309,9232,13
10310,9236,7
10311,9258,4
10312,9343,10
10313,9347,1
10314,9236,9
10315,9254,7
10316,9258,3
10317,9291,220
10318,9236,36
10319,9236,14
10320,9258,6
10321,9268,16
10322,9236,3
10323,9232,34
10324,9328,24
10325,9255,12
10326,9226,2
10327,9236,9
10328,9276,6
10329,9291,9
10330,9336,11
10331,9236,11
10332,9236,1
10333,9236,3
10334,9236,3
10335,9334,1
10336,9271,53
10337,9268,3
10338,9342,25
10339,9258,4
10340,9278,8
10341,9268,5
10342,9268,29
10343,9268,2
10344,9336,41
10345,9333,58
10346,9268,2
10347,9334,10
10348,9236,9
10349,9236,4
10350,9253,47
10351,9223,4
10352,9236,20
10353,9232,3
10354,9236,6
10355,9291,83
10356,9218,3
10357,9268,19
10358,9336,14
10359,9347,4
10360,9276,4
10361,9329,3
10362,9272,38
10363,9272,10
10364,9272,9
10365,9268,10
10366,9276,13
10367,9328,8
10368,9236,15
10369,9268,3
10370,9236,9
10371,9272,7
10372,9236,16
10373,9287,10
10374,9334,8
10375,9300,3
10376,9336,9
10377,9334,3
10378,9278,24
10379,9268,34
10380,9347,37
10381,9231,3
10382,9272,2
10383,9336,25
10384,9334,3
10385,9236,9
10386,9236,170
10387,9236,93
10388,9236,72
10389,9347,3
10390,9268,1
10391,9268,5
10392,9334,6
10393,9334,6
10394,9347,5
10395,9254,4
10396,9271,6
10397,9237,1
10398,9312,3
10399,9268,10
10400,9271,3
10401,9271,18
10402,9236,6
10403,9236,6
10404,9219,3
10405,9328,3
10406,9334,4
10407,9268,3
10408,9268,13
10409,9334,6
10410,9236,8
10411,9268,6
10412,9268,13
10413,9268,5
10414,9223,4
10415,9258,3
10416,9334,350
10417,9312,7
10418,9258,1
10419,9236,48
10420,9236,8
10421,9300,3
10422,9268,17
10423,9334,1
10424,9236,3
10425,9347,5
10426,9268,3
10427,9236,3
10428,9268,6
10429,9227,4
10430,9347,3
10431,9342,3
10432,9236,4
10433,9300,8
10434,9347,48
10435,9258,14
10436,9236,3
10437,9236,4
10438,9219,3
10439,9246,5
10440,9231,9
10441,9268,6
10442,9236,6
10443,9232,3
10444,9219,3
10445,9268,1
10446,9268,9
10447,9236,3
10448,9227,6
10449,9245,4
10450,9325,5
10451,9236,27
10452,9272,6
10453,9338,60
10454,9276,14
10455,9336,7
10456,9291,3
10457,9334,4
10458,9236,47
10459,9258,4
10460,9236,8
10461,9236,3
10462,9326,2
10463,9236,6
10464,9268,24
10465,9333,23
10466,9236,5
10467,9278,10
10468,9236,2
10469,9287,20
10470,9268,5
10471,9268,3
10472,9236,39
10473,9297,3
10474,9271,7
10475,9236,13
10476,9334,5
10477,9236,5
10478,9232,105
10479,9272,98
10480,9328,21
10481,9291,7
10482,9232,62
10483,9236,283
10484,9347,7
10485,9303,9
10486,9236,4
10487,9236,11
10488,9342,3
10489,9334,3
10490,9268,3
10491,9328,5
10492,9236,4
10493,9268,9
10494,9297,10
10495,9291,8
10496,9271,10
10497,9334,3
10498,9342,5
10499,9236,7
10500,9227,13
10501,9236,1
10502,9268,3
10503,9347,35
10504,9272,15
10505,9268,166
10506,9236,10
10507,9297,8
10508,9272,16
10509,9272,143
10510,9276,42
10511,9272,60
10512,9236,3
10513,9236,3
10514,9328,5
