source,target,count
18163,19303,2
18164,19196,1
18164,19208,1
18164,19298,25
18165,19175,7
18165,19178,12
18165,19181,35
18165,19183,4
18165,19187,5
18165,19190,3
18165,19192,13
18165,19196,4059
18165,19204,7
18165,19218,51
18165,19219,1
18165,19225,1
18165,19228,244
18165,19231,67
18165,19232,254
18165,19233,1
18165,19236,8
18165,19238,679
18165,19245,23
18165,19247,2
18165,19251,62
18165,19263,2
18165,19264,20
18165,19266,1
18165,19270,48
18165,19271,16
18165,19275,12
18165,19282,3
18165,19283,9
18165,19288,6618
18165,19290,15
18165,19293,2
18165,19294,125
18165,19296,19
18165,19300,1
18165,19301,4
18165,19302,4
18165,19303,33
18165,19307,90
18165,19308,14
18166,19208,4
18166,19231,67
18166,19236,26
18166,19264,1
18166,19272,1
18166,19274,13
18166,19275,1
18166,19298,8
18166,19300,2
18167,19231,7
18168,19231,9
18169,19200,585
18169,19207,3
18170,19192,3
18170,19195,42
18170,19269,13
18170,19270,3
18170,19303,4
18171,19287,40
18171,19302,2
18172,19306,8
18173,19175,11
18173,19178,5
18173,19183,2
18173,19187,342
18173,19195,365
18173,19196,134
18173,19197,121
18173,19200,9
18173,19207,20
18173,19209,6
18173,19214,18
18173,19218,3
18173,19224,18
18173,19227,1
18173,19228,5
18173,19232,1
18173,19236,1
18173,19237,2
18173,19246,1
18173,19254,11
18173,19257,15
18173,19260,11
18173,19263,8
18173,19268,2
18173,19269,9
18173,19270,3
18173,19271,1
18173,19273,4
18173,19275,2
18173,19283,3
18173,19289,9
18173,19292,3
18173,19293,16
18173,19294,1
18173,19302,1
18173,19303,9
18173,19304,21
18173,19306,2
18174,19303,321
18175,19179,2
18175,19183,3
18175,19187,6
18175,19192,11
18175,19195,3
18175,19196,3
18175,19200,3
18175,19206,9
18175,19213,13
18175,19214,1
18175,19218,43
18175,19224,3
18175,19231,24
18175,19246,24
18175,19254,2
18175,19271,7
18175,19272,8
18175,19275,9
18175,19285,1
18175,19289,41
18175,19292,1
18175,19293,1
18175,19298,2
18175,19303,22
18175,19306,1
18176,19303,3
18177,19270,11
18178,19270,2
18178,19309,42
18179,19196,9
18179,19228,9
18179,19294,5
18180,19192,67
18180,19303,7
18181,19196,13
18182,19231,28
18183,19303,7
18184,19181,7
18184,19190,2
18184,19196,256
18184,19228,109
18184,19231,54
18184,19232,21
18184,19238,1
18184,19251,10
18184,19254,11
18184,19257,4
18184,19263,4
18184,19270,1
18184,19279,1
18184,19283,2
18184,19294,26
18184,19296,9
18184,19301,5
18184,19303,4
18184,19307,11
18185,19297,1
18185,19309,47
18186,19236,13
18187,19254,47
18187,19269,10
18187,19306,3
18188,19231,4
18189,19180,1
18189,19303,17
18190,19181,14
18190,19206,5
18190,19228,1
18190,19231,371
18190,19238,2
18190,19264,2
18190,19290,278
18190,19296,13
18190,19302,3
18191,19192,72
18192,19236,6
18192,19303,98
18193,19187,85
18193,19192,2
18193,19195,57
18193,19196,44
18193,19207,18
18193,19209,1
18193,19214,4
18193,19218,8
18193,19224,27
18193,19245,2
18193,19246,1
18193,19260,2
18193,19268,1
18193,19272,3
18193,19275,1
18193,19289,7
18193,19298,3
18193,19304,2
18194,19192,9
18195,19196,10
18195,19228,2
18196,19307,17
18197,19288,3
18198,19196,271
18198,19228,24
18198,19294,7
18199,19196,115
18199,19228,19
18199,19294,2
18200,19208,29
18200,19231,14
18200,19253,3
18200,19293,16
18200,19298,5
18201,19232,7
18201,19303,18
18202,19214,1
18202,19275,9
18203,19276,6
18203,19287,57
18203,19302,1
18204,19303,161
18205,19303,16
18206,19303,26
18207,19196,1
18207,19214,2
18207,19220,2
18207,19293,70
18207,19302,17
18207,19303,2
18208,19246,10
18209,19214,96
18209,19257,14
18210,19175,6
18210,19178,12
18210,19179,11
18210,19180,14
18210,19181,1
18210,19183,6
18210,19186,2
18210,19187,423
18210,19188,1
18210,19191,6
18210,19192,98
18210,19193,3
18210,19195,331
18210,19196,211
18210,19197,1
18210,19200,6
18210,19204,2
18210,19207,15
18210,19208,2
18210,19209,11
18210,19213,13
18210,19214,4
18210,19218,49
18210,19220,15
18210,19224,104
18210,19227,3
18210,19228,20
18210,19231,207
18210,19232,40
18210,19233,1
18210,19235,15
18210,19236,8
18210,19238,3
18210,19251,29
18210,19254,2
18210,19257,9
18210,19260,3
18210,19261,2
18210,19264,7
18210,19268,2
18210,19269,5
18210,19272,12
18210,19273,11
18210,19274,2
18210,19275,11
18210,19285,4
18210,19286,2
18210,19287,7
18210,19288,1
18210,19289,32
18210,19293,20
18210,19294,6
18210,19296,29
18210,19298,5
18210,19300,2
18210,19301,1
18210,19302,5
18210,19303,842
18210,19304,5
18210,19306,9
18210,19307,22
18211,19196,127
18212,19196,172
18212,19218,13
18212,19228,8
18212,19238,1
18212,19294,1
18212,19303,2
18212,19308,1
18213,19303,80
18213,19308,1
18214,19246,1
18214,19271,17
18215,19298,8
18216,19178,9
18217,19298,2
18217,19303,4
18218,19187,4
18218,19206,1
18218,19214,101
18218,19218,1
18218,19231,1
18218,19234,3
18218,19236,633
18218,19257,2
18218,19293,52
18218,19302,3
18218,19303,23
18219,19193,29
18219,19303,7
18220,19179,2
18220,19187,3
18220,19192,2
18220,19217,1
18220,19220,10
18220,19231,44
18220,19236,10
18220,19246,2
18220,19251,1
18220,19274,114
18220,19290,4
18220,19293,43
18220,19298,6
18220,19304,2
18221,19192,4
18222,19205,2
18222,19264,3
18222,19283,6
18222,19292,93
18222,19303,9
18223,19236,6
18223,19303,2
18224,19236,3
18224,19303,6
18225,19302,52
18226,19223,12
18226,19240,3
18227,19303,4
18228,19196,3
18228,19228,9
18229,19195,1
18229,19207,22
18230,19288,4
18231,19288,3
18231,19307,40
18232,19179,1
18232,19214,10
18232,19218,5
18232,19231,10
18232,19232,1
18232,19235,200
18232,19286,2
18232,19288,19
18232,19303,12
18233,19197,22
18233,19206,45
18233,19207,2
18233,19209,1
18233,19303,23
18234,19238,39
18235,19192,183
18235,19196,1
18235,19228,2
18235,19231,1
18235,19232,2
18235,19292,2
18235,19302,15
18235,19303,48
18236,19218,3
18236,19292,2
18237,19179,150
18237,19182,1
18237,19187,6
18237,19188,12
18237,19192,6
18237,19204,141
18237,19205,30
18237,19207,7
18237,19213,53
18237,19214,8
18237,19218,1169
18237,19228,3
18237,19229,20
18237,19234,3
18237,19236,18
18237,19242,6
18237,19245,8
18237,19246,2
18237,19257,8
18237,19263,16
18237,19270,20
18237,19271,203
18237,19274,15
18237,19275,31
18237,19283,2
18237,19285,12
18237,19286,1
18237,19292,56
18237,19293,36
18237,19294,3
18237,19298,5
18237,19302,24
18237,19303,28
18237,19310,4
18238,19185,6
18238,19303,2
18239,19228,7
18240,19303,375
18241,19243,4
18241,19276,2
18241,19303,7
18242,19196,2
18242,19228,8
18242,19288,3
18242,19294,6
18242,19296,6
18242,19302,1
18242,19303,1
18242,19307,58
18242,19308,5
18243,19178,6
18243,19181,3
18243,19190,9
18243,19192,9
18243,19196,1808
18243,19204,9
18243,19214,2
18243,19221,8
18243,19228,5665
18243,19229,1
18243,19231,95
18243,19232,255
18243,19236,16
18243,19238,53
18243,19247,19
18243,19250,6
18243,19251,152
18243,19253,10
18243,19254,10
18243,19256,3
18243,19257,2
18243,19260,2
18243,19263,4
18243,19264,6
18243,19270,32
18243,19275,3
18243,19276,3
18243,19279,1
18243,19283,53
18243,19288,65
18243,19289,1
18243,19290,13
18243,19291,1
18243,19294,278
18243,19296,378
18243,19297,4
18243,19298,1
18243,19302,34
18243,19303,29
18243,19307,331
18243,19308,38
18244,19192,2
18245,19228,3
18246,19288,11
18247,19175,11
18248,19298,65
18249,19187,283
18249,19224,2
