source,target,count
9172,9004,1
9172,9036,5
9172,9045,8427
9172,9047,3
9172,9059,2
9173,9046,124
9174,8994,11
9174,9003,4
9174,9059,5
9175,9003,54
9175,9004,24
9175,9008,1
9175,9036,2
9175,9047,4274
9175,9059,10
9176,9003,1
9176,9047,8
9177,9047,5
9177,9048,228
9178,9003,8
9178,9017,3
9179,9039,21
9180,9003,9
9181,9003,18
9181,9004,3
9182,8995,6
9182,9003,5
9182,9036,52
9182,9039,126
9182,9047,2
9182,9049,4
9182,9059,30
9183,9036,41
9183,9059,12
9184,9039,6
9185,9050,1466
9186,8994,600
9186,9003,202
9186,9004,32
9186,9021,3
9186,9036,111
9186,9045,13
9186,9047,4
9186,9051,17
9186,9058,140
9186,9059,271
9187,9004,2
9187,9043,3
9187,9045,5
9188,9003,6
9188,9004,55
9188,9008,48
9188,9036,1
9189,8994,59
9189,9003,92
9189,9004,9
9189,9036,5
9189,9052,4
9189,9058,121
9189,9059,10
9189,9060,2
9190,8995,36
9190,9003,6
9190,9004,1
9190,9036,72
9190,9039,112
9190,9043,15
9190,9045,12
9190,9047,3
9190,9059,50
9191,9036,2
9191,9039,3
9191,9053,216
9191,9059,8
9192,8995,4
9192,9003,1
9192,9036,11
9192,9047,1
9192,9059,18
9193,9036,17
9193,9059,33
9194,9003,15
9194,9004,3
9194,9036,18
9194,9054,27
9194,9059,50
9195,9003,42
9195,9004,106
9195,9036,139
9195,9043,5
9195,9045,28
9195,9047,165
9195,9059,211
9196,9036,1
9196,9059,11
9197,9003,2
9197,9004,2
9197,9036,1
9197,9045,65
9197,9059,2
9198,9055,3
9199,8994,4
9199,9003,12
9199,9036,2
9199,9056,189
9199,9058,1
9199,9059,2
9200,8994,237
9200,8998,1
9200,9001,3
9200,9003,26
9200,9004,3
9200,9036,592
9200,9038,15
9200,9039,33
9200,9043,4
9200,9045,8
9200,9047,1
9200,9057,9
9200,9058,213
9200,9059,730
9201,8995,5
9201,9036,9
9201,9059,4
9202,8994,8
9202,9003,63
9202,9004,21
9202,9021,1
9202,9036,2
9202,9058,9771
9202,9059,1
9203,8995,99
9203,9003,32
9203,9004,12
9203,9036,5
9203,9051,1
9203,9058,1
9203,9059,18449
9204,9003,78
9204,9004,206
9204,9008,6
9204,9036,7
9204,9045,13
9204,9059,5
9205,9003,1
9205,9036,3
9205,9043,1
9206,9004,36
9206,9008,2
9207,9036,2
9207,9059,1
9208,9036,9
9208,9059,1
9209,9003,1
9209,9060,617
